UserID,total_events,unique_sessions,page_views,add_to_cart,purchases,first_event,last_event,avg_amount,total_amount,conversion_rate,cart_rate,session_activity,engagement_days,recency_days
1,82,10,15,23,8,2024-01-01 23:09:51.956825,2024-07-22 20:10:14.181302,249.51609748406477,1996.1287798725182,0.8,1.5333,8.2,202,2
2,73,10,10,18,13,2024-01-01 14:07:40.491141,2024-07-22 08:54:54.594265,205.8887477197223,2676.55372035639,1.3,1.8,7.3,202,3
3,64,10,9,11,6,2024-01-05 15:44:25.330449,2024-07-23 17:38:50.228803,252.11656539839615,1512.699392390377,0.6,1.2222,6.4,200,1
4,83,10,17,14,9,2024-01-01 02:11:06.298369,2024-07-23 19:57:57.196352,258.09181757475244,2322.826358172772,0.9,0.8235,8.3,204,1
5,84,10,14,13,7,2024-01-01 14:03:07.709158,2024-07-24 10:05:47.264077,312.7594779072613,2189.316345350829,0.7,0.9286,8.4,204,1
6,83,10,13,7,16,2024-01-04 18:52:51.924379,2024-07-23 14:58:42.224360,190.21721181835892,3043.4753890937427,1.6,0.5385,8.3,200,1
7,76,10,16,9,12,2024-01-07 11:49:12.672559,2024-07-17 15:42:50.274862,260.88156591563387,3130.578790987606,1.2,0.5625,7.6,192,7
8,70,10,10,10,12,2024-01-04 15:16:04.880699,2024-07-22 06:07:53.771228,241.08540375764446,2893.0248450917334,1.2,1.0,7.0,199,3
9,82,10,9,8,16,2024-01-01 21:26:04.358965,2024-07-19 17:32:15.783554,262.19443479730194,4195.110956756831,1.6,0.8889,8.2,199,5
10,81,10,14,7,18,2024-01-01 08:01:45.649799,2024-07-23 22:50:17.279206,198.1852549961404,3567.3345899305273,1.8,0.5,8.1,204,1
11,85,10,16,12,9,2024-01-01 12:27:09.150148,2024-07-22 19:16:05.465940,135.2505300554293,1217.2547704988635,0.9,0.75,8.5,203,2
12,80,10,15,13,12,2024-01-01 04:26:13.165170,2024-07-20 08:20:02.248103,169.1351617137832,2029.6219405653983,1.2,0.8667,8.0,201,5
13,67,10,12,13,12,2024-01-01 22:20:43.160267,2024-07-23 17:10:54.665630,293.0302039685903,3516.3624476230834,1.2,1.0833,6.7,203,1
14,87,10,12,16,8,2024-01-01 09:15:35.284452,2024-07-22 11:19:47.262306,280.13445707466855,2241.0756565973484,0.8,1.3333,8.7,203,2
15,71,10,9,9,12,2024-01-02 01:20:08.223288,2024-07-20 14:51:55.684294,266.2528608384145,3195.0343300609743,1.2,1.0,7.1,200,4
16,77,10,11,11,9,2024-01-03 21:33:44.153953,2024-07-24 03:34:43.047275,292.8231694122277,2635.4085247100493,0.9,1.0,7.7,202,1
17,75,10,10,14,13,2024-01-04 13:03:00.131178,2024-07-23 07:00:08.055091,203.39694911367258,2644.1603384777436,1.3,1.4,7.5,200,2
18,79,10,14,12,10,2024-01-05 03:55:26.598061,2024-07-23 14:56:03.187995,249.90719362296105,2499.0719362296104,1.0,0.8571,7.9,200,1
19,64,10,9,5,11,2024-01-03 14:43:41.234217,2024-07-24 09:24:35.846976,301.64069313800985,3318.0476245181085,1.1,0.5556,6.4,202,1
20,76,10,7,10,8,2024-01-03 03:15:58.218530,2024-07-24 10:12:14.880284,279.2789473295407,2234.2315786363256,0.8,1.4286,7.6,203,1
21,78,10,10,14,5,2024-01-02 12:44:21.725156,2024-07-20 11:30:12.689665,354.0261855592032,1770.130927796016,0.5,1.4,7.8,199,4
22,72,10,16,6,5,2024-01-01 03:11:20.920906,2024-07-17 04:36:04.839997,244.36922712212726,1221.8461356106363,0.5,0.375,7.2,198,8
23,75,10,13,12,10,2024-01-07 23:10:57.364587,2024-07-23 05:41:26.601333,287.0409900728072,2870.4099007280715,1.0,0.9231,7.5,197,2
24,74,10,7,11,11,2024-01-03 03:39:28.847989,2024-07-24 09:53:35.115464,268.82116382072405,2957.0328020279644,1.1,1.5714,7.4,203,1
25,71,10,6,13,14,2024-01-01 10:23:14.154535,2024-07-23 21:08:31.555708,195.7239883167887,2740.1358364350417,1.4,2.1667,7.1,204,1
26,76,10,7,10,11,2024-01-01 03:48:22.917866,2024-07-20 07:44:56.311523,293.83520715946287,3232.1872787540915,1.1,1.4286,7.6,201,5
27,70,10,11,9,12,2024-01-03 03:41:38.800569,2024-07-21 01:09:35.276325,208.1153006800539,2497.383608160647,1.2,0.8182,7.0,199,4
28,79,10,11,8,17,2024-01-02 07:57:59.580514,2024-07-24 05:49:34.519466,269.53624987805057,4582.11624792686,1.7,0.7273,7.9,203,1
29,77,10,12,14,12,2024-01-01 20:00:49.192394,2024-07-22 19:46:37.617448,282.48413772836005,3389.809652740321,1.2,1.1667,7.7,202,2
30,80,10,10,10,9,2024-01-02 13:49:37.906057,2024-07-19 05:45:25.041624,222.7394275646953,2004.6548480822576,0.9,1.0,8.0,198,6
31,73,10,19,13,7,2024-01-01 16:57:10.527152,2024-07-23 00:45:37.752106,314.18438730486776,2199.290711134074,0.7,0.6842,7.3,203,2
32,80,10,10,16,13,2024-01-02 16:38:13.873421,2024-07-23 21:00:58.088882,249.82562438504152,3247.73311700554,1.3,1.6,8.0,203,1
