customer_unique_id,UserID,first_purchase,last_purchase,frequency,total_spent,avg_order_value,recency_days_x,total_events,unique_sessions,page_views,add_to_cart,purchases,first_event,last_event,avg_amount,total_amount,conversion_rate,cart_rate,session_activity,engagement_days,recency_days_y,engagement_value_ratio,activity_frequency_ratio
ffc04aafbf624bd130516cc1d195626a,363,2017-08-12 17:13:04,2017-08-12 17:13:04,1,17.78,17.78,382,62,10,12,7,5,2024-01-01 23:59:15.054167,2024-07-18 07:09:42.386274,249.75132934598167,1248.7566467299084,0.5,0.5833,6.2,198,7,0.287,0.1
fed3e972045fed1cbe3221a24f812f0b,292,2017-09-20 12:42:20,2017-09-20 12:42:20,1,18.68,18.68,344,65,10,9,11,5,2024-01-04 14:38:53.168437,2024-07-22 17:33:40.040303,187.2499561526506,936.249780763253,0.5,1.2222,6.5,200,2,0.287,0.1
fe44554c4f01285a9320716b894ffec6,482,2018-04-19 20:03:42,2018-04-19 20:03:42,1,16.95,16.95,132,65,10,10,9,5,2024-01-08 19:57:29.933686,2024-07-22 15:03:16.095090,204.76457117240807,1023.8228558620405,0.5,0.9,6.5,195,2,0.261,0.1
ffdd1e311843bb858885335ae77bb97a,490,2017-11-24 19:03:03,2017-11-24 19:03:03,1,22.1,22.1,278,66,10,13,13,5,2024-01-03 20:10:40.760270,2024-07-23 11:45:28.716530,214.83343955064865,1074.167197753243,0.5,1.0,6.6,201,1,0.335,0.1
fdf4d1804c3c976a3e766bbb30eb2c32,657,2018-08-02 20:53:28,2018-08-02 20:53:28,1,17.39,17.39,27,64,10,11,9,8,2024-01-01 15:27:44.705424,2024-07-24 09:24:53.575048,170.35211156292493,1362.8168925033997,0.8,0.8182,6.4,204,1,0.272,0.1
ff86fefe11696b1e957173516339bcd8,702,2017-05-01 15:01:03,2017-05-01 15:01:03,1,21.95,21.95,485,65,10,10,11,9,2024-01-02 12:53:58.349871,2024-07-22 02:23:59.529006,143.60298163784478,1292.426834740603,0.9,1.1,6.5,201,3,0.338,0.1
fdf34099c1c8150b7e542abc8696170b,517,2017-07-25 18:42:37,2017-07-25 18:42:37,1,18.59,18.59,400,60,10,8,6,8,2024-01-05 07:32:21.104385,2024-07-19 02:23:20.711608,184.794940004835,1478.35952003868,0.8,0.75,6.0,195,6,0.31,0.1
ffd402998b20b0b8325f54e770264733,152,2018-05-31 10:16:12,2018-05-31 10:16:12,1,22.78,22.78,91,66,10,4,10,7,2024-01-02 12:18:29.277955,2024-07-23 06:12:47.543369,176.4837966754119,1235.3865767278833,0.7,2.5,6.6,202,2,0.345,0.1
fd0973921b50c01984ebf2202e21b942,3,2018-01-11 19:22:42,2018-01-11 19:22:42,1,19.33,19.33,230,64,10,9,11,6,2024-01-05 15:44:25.330449,2024-07-23 17:38:50.228803,252.11656539839612,1512.699392390377,0.6,1.2222,6.4,200,1,0.302,0.1
fe3f5b26ac1f3f88af269e7b7585a8cc,797,2018-04-28 22:47:11,2018-04-28 22:47:11,1,22.36,22.36,123,64,10,8,9,7,2024-01-03 02:16:38.514185,2024-07-24 06:52:16.842889,224.45355563804011,1571.174889466281,0.7,1.125,6.4,203,1,0.349,0.1
fe97a20a987dd0adc99328b52be73c4c,845,2017-02-12 20:37:21,2017-02-12 20:37:21,1,22.86,22.86,563,68,10,6,12,8,2024-01-01 13:14:49.919776,2024-07-13 23:02:27.625431,157.60792886503663,1260.8634309202932,0.8,2.0,6.8,194,11,0.336,0.1
fbf209b35bd3488bee6a7131a50daf2d,241,2017-11-14 21:46:37,2017-11-14 21:46:37,1,15.78,15.78,288,65,10,14,6,6,2024-01-01 22:41:26.676722,2024-07-23 01:13:29.766340,254.5110639806593,1527.066383883956,0.6,0.4286,6.5,203,2,0.243,0.1
fc0444e91c145f2cbc5c76c0e8f8be4d,964,2018-04-27 08:44:03,2018-04-27 08:44:03,1,16.39,16.39,125,65,10,17,7,6,2024-01-03 01:48:28.400377,2024-07-24 08:06:56.862637,261.45594136042183,1568.735648162531,0.6,0.4118,6.5,203,1,0.252,0.1
ffb6123b45cfa6e6ff5ff94d404283b7,296,2018-07-09 21:31:15,2018-07-09 21:31:15,1,25.04,25.04,51,63,10,6,5,7,2024-01-01 10:49:31.296057,2024-07-15 19:17:47.789119,232.7767822508142,1629.437475755699,0.7,0.8333,6.3,196,9,0.397,0.1
feec8343e6fa7b201d9d297611f09b9f,468,2018-07-07 16:24:11,2018-07-07 16:24:11,1,23.89,23.89,53,65,10,8,10,7,2024-01-08 12:11:39.854825,2024-07-21 10:44:48.402716,220.6283218279389,1544.3982527955725,0.7,1.25,6.5,194,3,0.368,0.1
fe6cae7b4ec50b71fe57349e39e01e4c,819,2018-08-07 10:58:05,2018-08-07 10:58:05,1,23.29,23.29,23,68,10,10,8,6,2024-01-02 06:58:25.111407,2024-07-22 19:18:34.773903,221.37805834963083,1328.268350097785,0.6,0.8,6.8,202,2,0.342,0.1
fc545111108ebc9bf49eb27c828d25fd,169,2017-01-05 14:36:18,2017-01-05 14:36:18,1,19.62,19.62,602,68,10,9,7,8,2024-01-01 20:29:58.104879,2024-07-14 22:13:25.682666,150.0049573846365,1200.039659077092,0.8,0.7778,6.8,195,10,0.289,0.1
fec3ef9962f5525487b628a58caf638b,670,2017-12-06 21:38:37,2017-12-06 21:38:37,1,24.71,24.71,266,65,10,10,12,8,2024-01-01 02:00:11.481963,2024-07-17 12:21:16.014621,197.89161229150827,1583.132898332066,0.8,1.2,6.5,198,7,0.38,0.1
fc2b5f19f2fea59761bf4961bc83ada6,49,2018-05-16 10:57:19,2018-05-16 10:57:19,1,20.61,20.61,106,67,10,12,9,7,2024-01-05 14:11:04.763690,2024-07-21 02:42:21.028663,208.4829198422908,1459.3804388960357,0.7,0.75,6.7,197,4,0.308,0.1
fe685949aae1ed273aa2e3d7cb0679e1,129,2017-12-19 12:35:11,2017-12-19 12:35:11,1,24.75,24.75,254,68,10,8,9,9,2024-01-01 19:32:45.504598,2024-07-24 07:46:52.809264,140.7579311156923,1266.821380041231,0.9,1.125,6.8,204,1,0.364,0.1
ffc142edc6bce329c6df0006387a5a77,58,2017-08-22 18:53:15,2017-08-22 18:53:15,1,26.68,26.68,372,66,10,7,8,7,2024-01-03 07:16:11.077455,2024-07-18 21:04:29.511721,222.1463407335808,1555.0243851350656,0.7,1.1429,6.6,197,6,0.404,0.1
ffb2d91ed21974026a30f6ec0b3c934f,735,2017-09-13 09:51:16,2017-09-13 09:51:16,1,26.68,26.68,351,66,10,10,6,8,2024-01-03 01:13:35.558187,2024-07-22 09:56:07.109084,197.00202096311523,1576.0161677049218,0.8,0.6,6.6,201,3,0.404,0.1
ff5f63dc004a0f064fc459dc73e45bd1,709,2018-08-09 22:52:27,2018-08-09 22:52:27,1,26.29,26.29,20,68,10,10,13,8,2024-01-05 22:08:24.266860,2024-07-23 23:35:17.722875,179.23585170685269,1433.8868136548217,0.8,1.3,6.8,200,1,0.387,0.1
ff9b12e78f7c6c8ad5327b63374c370c,910,2017-05-12 15:21:10,2017-05-12 15:21:10,1,26.75,26.75,474,70,10,10,16,3,2024-01-05 20:36:07.717052,2024-07-23 05:09:44.312159,160.72855721213134,482.185671636394,0.3,1.6,7.0,199,2,0.382,0.1
ff917c9a5c8153119ba15b468afe1542,752,2018-02-15 10:31:58,2018-02-15 10:31:58,1,26.71,26.71,196,69,10,9,11,6,2024-01-04 20:03:47.836197,2024-07-22 07:32:23.759149,216.45205882911523,1298.7123529746914,0.6,1.2222,6.9,199,3,0.387,0.1
fed913f2188d98883bf04dd46b214731,477,2017-06-11 01:32:05,2017-06-11 01:32:05,1,25.83,25.83,445,68,10,7,12,6,2024-01-01 08:25:01.698473,2024-07-23 15:05:14.036347,247.6330646120465,1485.798387672279,0.6,1.7143,6.8,204,1,0.38,0.1
